image,title,price,brand
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-886-007-S01.jpg,PlayStation Plus 1 Year Membership - (Email Delivery),59,PlayStation
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-150-822-V01.jpg,XFX Radeon RX 5700 DirectX 12 RX-57XL8MFG6 Video Card,289,XFX
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AD32_131913263316620329kxf26EctSa.jpg,"6 inch LED Downlight, 15W (150W Equiv.) 1800lm, 4000K Natural White Daylight Non-Dimmable LED Recessed Lights, Energy Saving, 2 Pack, SANSI",10,SANSI
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/86-317-007-S01.jpg,Krazilla Bluetooth Smart Watch for Android Phones - KZW08 Gold,4,Dyson
https://c1.neweggimages.com/ProductImageCompressAll300/ADVW_1_20180702577258017.jpg,Refurbished: Dyson Supersonic Hair Dryer - Fucshia,219,G.SKILL
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-181-01.jpg,G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GVGB,59,Microsoft
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-350-238-Z02.jpg,Windows 10 Pro 64-Bit Installation / Recovery Disc Only - No License Key Included,9,Symantec
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-377-988-V03.jpg,"Norton 360 Premium - Antivirus Software for 10 Devices - Includes VPN, PC Cloud Backup & Dark Web Monitoring Powered by LifeLock [Key Card]",39,Team Group
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-360-V01.jpg,Team T-FORCE VULCAN Z 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model TLZGD416G3000HC16CDC01,49,Bed Bath & Beyond
https://c1.neweggimages.com/ProductImageCompressAll300/32-954-004-S01.jpg,Bed Bath & Beyond $100 Gift Cards ( Email Delivery),90,Microsoft
https://c1.neweggimages.com/ProductImageCompressAll300/32-588-491-06.jpg,Windows 10 Pro 64-bit - OEM,144,SkyTech
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/83-289-038-S01.jpg,"SkyTech Shadow - Gaming Desktop PC - AMD Ryzen 7 2700 (8-Core 3.2 GHz), NVIDIA GeForce RTX 2060 SUPER (8 GB), 16 GB DDR4, 500 GB SSD, AMD B450, Windows 10 Home 64-bit",899,Corsair
